POS,PLAYER,Pts ,Mat ,Wkts ,Dots ,4s ,6s ,Catches ,Stumpings 
44,Navdeep Saini ,149.5,13,6,116,3,0,2,0
45,Rohit Sharma ,149,12,0,0,27,19,6,0
46,Jonny Bairstow ,143,11,0,0,31,13,7,1
47,Sunil Narine ,142.5,10,5,67,10,8,2,0
48,Rishabh Pant ,141.5,14,0,0,31,9,13,0
49,Jos Buttler ,138.5,13,0,0,27,16,6,0
50,Hardik Pandya ,137.5,14,0,0,14,25,6,0
51,Shreyas Gopal ,133.5,14,10,86,3,0,2,0
52,Shane Watson ,133,11,0,0,33,13,2,0
53,Mohammed Siraj ,130.5,9,11,77,2,0,4,0
54,Jason Holder ,130,7,14,58,5,3,0,0
55,James Pattinson ,126.5,10,11,78,2,0,2,0
56,Ambati Rayudu ,124.5,12,0,0,30,12,3,0
57,Chris Gayle ,120.5,7,0,0,15,23,1,0
58,Kartik Tyagi ,119.5,10,9,83,0,0,2,0
59,Andre Russell ,119,10,6,39,9,9,2,0
60,Steve Smith ,116.5,14,0,0,32,9,2,0
61,Murugan Ashwin ,115,9,10,70,0,0,4,0
62,Kane Williamson ,115,12,0,0,26,10,6,0
63,Chris Jordan ,111,9,9,62,2,0,5,0
64,Shardul Thakur ,108,9,10,68,0,0,2,0
65,Shivam Mavi ,107,8,9,63,1,0,4,0
66,Prithvi Shaw ,105.5,13,0,0,27,8,4,0
67,Aaron Finch ,105.5,12,0,0,28,8,3,0
68,MS Dhoni ,104.5,14,0,0,16,7,15,1
69,Virat Kohli ,103.5,15,0,0,23,11,3,0
70,Nathan Coulter-Nile ,101.5,7,5,69,4,0,2,0
71,Rahul Tripathi ,95,11,0,0,21,10,3,0
72,Arshdeep Singh ,92.5,8,9,56,0,0,2,0
73,Khaleel Ahmed ,92.5,7,8,62,0,0,1,0
74,Isuru Udana ,90.5,10,8,49,1,1,3,0
75,Shimron Hetmyer ,87,12,0,0,11,12,7,0
76,Dinesh Karthik ,86.5,14,0,0,20,4,9,0
77,Wriddhiman Saha ,85,4,0,0,24,5,2,1
78,Lockie Ferguson ,82.5,5,6,48,4,1,0,0
79,Glenn Maxwell ,80,13,3,37,9,0,4,0
80,Sheldon Cottrell ,80,6,6,59,0,0,0,0
81,Robin Uthappa ,79.5,12,0,0,19,7,3,0
82,Shivam Dube ,77,11,4,14,5,9,2,0
83,Kamlesh Nagarkoti ,76,10,5,46,1,0,4,0
84,Vijay Shankar ,76,7,4,31,10,1,1,0
85,Ruturaj Gaikwad ,71,6,0,0,16,6,4,0
86,Lungi Ngidi ,66.5,4,9,35,0,0,0,0
87,Abdul Samad ,66,12,1,9,8,6,5,0
88,Tom Curran ,61,5,3,25,5,3,1,0
89,Dwayne Bravo ,58.5,6,6,35,0,0,1,0
90,Piyush Chawla ,58,7,6,37,0,0,0,0
91,Shahbaz Nadeem ,53.5,7,5,31,1,0,1,0
92,Prasidh Krishna ,51.5,6,4,35,0,0,1,0
93,Jaydev Unadkat ,51.5,7,4,35,0,0,1,0
94,Priyam Garg ,51.5,14,0,0,9,4,6,0
95,Tushar Deshpande ,50.5,5,3,29,2,1,1,0
96,Bhuvneshwar Kumar ,50.5,4,3,40,0,0,0,0
97,Ajinkya Rahane ,47,9,0,0,12,2,4,0
98,Abhishek Sharma ,46,8,2,11,6,3,1,0
99,Karn Sharma ,44.5,5,5,27,0,0,0,0
100,Ankit Rajpoot ,44.5,6,2,34,0,1,0,0
101,Mandeep Singh ,41.5,7,0,0,10,4,1,0
102,Harshal Patel ,41,5,3,23,2,0,1,0
103,Deepak Hooda ,39.5,7,0,2,5,5,3,0
104,Jimmy Neesham ,39,5,2,26,0,1,1,0
105,Josh Hazlewood ,34.5,3,1,31,0,0,0,0
106,Saurabh Tiwary ,33,7,0,0,8,3,1,0
107,Gurkeerat Mann Singh ,32.5,8,0,0,8,0,5,0
108,Riyan Parag ,31,12,0,3,6,3,1,0
109,Amit Mishra ,30,3,3,17,0,0,1,0
110,Daniel Sams ,29.5,3,0,22,0,0,3,0
111,Adam Zampa ,29.5,3,2,20,0,0,1,0
112,Krishnappa Gowtham ,29,2,1,11,3,2,0,0
113,Imran Tahir ,27.5,3,1,19,2,0,0,0
114,Dale Steyn ,27.5,3,1,24,0,0,0,0
115,Josh Philippe ,26,5,0,0,9,1,0,0
116,Kuldeep Yadav ,25,5,1,19,1,0,0,0
117,Mitchell Santner ,21.5,2,2,12,0,0,1,0
118,Varun Aaron ,21,3,0,21,0,0,0,0
119,Kedar Jadhav ,20,8,0,0,7,0,1,0
120,Shahbaz Ahmed ,18.5,2,2,9,0,0,1,0
121,Sarfaraz Khan ,17.5,5,0,0,5,0,2,0
122,Jayant Yadav ,16.5,2,1,13,0,0,0,0
123,Moeen Ali ,16.5,3,1,8,1,0,1,0
124,Mahipal Lomror ,15.5,3,0,0,2,3,0,0
125,Pravin Dubey ,14.5,3,0,12,0,0,1,0
126,Yashasvi Jaiswal ,14.5,3,0,0,2,2,1,0
127,Umesh Yadav ,14,2,0,14,0,0,0,0
128,Siddarth Kaul ,13,1,2,6,0,0,0,0
129,Mujeeb Ur Rahman ,12,2,0,12,0,0,0,0
130,Andrew Tye ,12,1,1,5,0,1,0,0
131,Mohit Sharma ,10.5,1,1,7,0,0,0,0
132,Narayan Jagadeesan ,10,5,0,0,4,0,0,0
133,Murali Vijay ,10,3,0,0,4,0,0,0
134,Mohammad Nabi ,10,1,0,5,2,0,0,0
135,Alex Carey ,8.5,3,0,0,0,1,2,0
136,Basil Thampi ,8.5,1,1,5,0,0,0,0
137,Sandeep Warrier ,8,1,0,8,0,0,0,0
138,Karun Nair ,7.5,4,0,0,2,0,1,0
139,Simran Singh ,7.5,2,0,0,2,0,1,0
140,Avesh Khan ,7,1,0,7,0,0,0,0
141,Harpreet Brar ,6,1,0,6,0,0,0,0
142,Chris Green ,6,1,0,6,0,0,0,0
143,Tom Banton ,6,2,0,0,1,1,0,0
144,Dhawal Kulkarni ,6,1,0,6,0,0,0,0
145,Rinku Singh ,5,1,0,0,1,0,1,0
146,Monu Kumar ,4,1,0,4,0,0,0,0
147,Ishant Sharma ,4,1,0,4,0,0,0,0
148,Nikhil Naik ,2.5,1,0,0,0,0,1,0
149,Shreevats Goswami ,2.5,2,0,0,0,0,1,0
150,Mitchell Marsh ,1,1,0,1,0,0,0,0
