,POS,PLAYER,Mat ,Inns ,NO ,Runs ,HS ,Avg ,BF ,SR ,100,50,4s ,6s ,POS,PLAYER,Pts ,Mat ,Wkts ,Dots ,4s ,6s ,Catches ,Stumpings ,POS,PLAYER,Distance (m) 
41,42,Shimron Hetmyer ,12.0,11.0,3.0,185.0,45,23.12,125.0,148.0,0.0,0.0,11.0,12.0,41,Ben Stokes ,160.5,8.0,2.0,24.0,36.0,7.0,6.0,0.0,42,Manish Pandey ,93.0
42,43,Dinesh Karthik ,14.0,14.0,2.0,169.0,58,14.08,134.0,126.11,0.0,1.0,20.0,4.0,42,Shubman Gill ,159.0,14.0,0.0,0.0,44.0,9.0,7.0,0.0,43,Jos Buttler ,93.0
43,44,Pat Cummins ,14.0,11.0,4.0,146.0,53* ,20.85,114.0,128.07,0.0,1.0,9.0,8.0,43,Nitish Rana ,154.5,14.0,0.0,0.0,43.0,12.0,2.0,0.0,44,Ishan Kishan ,93.0
44,45,Priyam Garg ,14.0,10.0,1.0,133.0,51* ,14.77,111.0,119.81,0.0,1.0,9.0,4.0,44,Navdeep Saini ,149.5,13.0,6.0,116.0,3.0,0.0,2.0,0.0,45,Kane Williamson ,93.0
45,46,Mandeep Singh ,7.0,7.0,1.0,130.0,66* ,21.66,109.0,119.26,0.0,1.0,10.0,4.0,45,Rohit Sharma ,149.0,12.0,0.0,0.0,27.0,19.0,6.0,0.0,46,Sanju Samson ,93.0
46,47,Shivam Dube ,11.0,9.0,2.0,129.0,27* ,18.42,105.0,122.85,0.0,0.0,5.0,9.0,46,Jonny Bairstow ,143.0,11.0,0.0,0.0,31.0,13.0,7.0,1.0,47,Sanju Samson ,92.0
47,48,Sunil Narine ,10.0,9.0,0.0,121.0,64,13.44,85.0,142.35,0.0,1.0,10.0,8.0,47,Sunil Narine ,142.5,10.0,5.0,67.0,10.0,8.0,2.0,0.0,48,MS Dhoni ,92.0
48,49,Andre Russell ,10.0,9.0,0.0,117.0,25,13,81.0,144.44,0.0,0.0,9.0,9.0,48,Rishabh Pant ,141.5,14.0,0.0,0.0,31.0,9.0,13.0,0.0,49,Hardik Pandya ,92.0
49,50,Axar Patel ,15.0,9.0,1.0,117.0,42,14.62,85.0,137.64,0.0,0.0,6.0,8.0,49,Jos Buttler ,138.5,13.0,0.0,0.0,27.0,16.0,6.0,0.0,50,Nicholas Pooran ,92.0
50,51,Jofra Archer ,14.0,10.0,4.0,113.0,27* ,18.83,63.0,179.36,0.0,0.0,5.0,10.0,50,Hardik Pandya ,137.5,14.0,0.0,0.0,14.0,25.0,6.0,0.0,51,Manish Pandey ,92.0
51,52,Ajinkya Rahane ,9.0,8.0,0.0,113.0,60,14.12,107.0,105.6,0.0,1.0,12.0,2.0,51,Shreyas Gopal ,133.5,14.0,10.0,86.0,3.0,0.0,2.0,0.0,52,Marcus Stoinis ,92.0
52,53,Washington Sundar ,15.0,9.0,3.0,111.0,30,18.5,95.0,116.84,0.0,0.0,10.0,2.0,52,Shane Watson ,133.0,11.0,0.0,0.0,33.0,13.0,2.0,0.0,53,Kieron Pollard ,92.0
53,54,Abdul Samad ,12.0,8.0,3.0,111.0,33,22.2,65.0,170.76,0.0,0.0,8.0,6.0,53,Mohammed Siraj ,130.5,9.0,11.0,77.0,2.0,0.0,4.0,0.0,54,Shane Watson ,91.0
54,55,Krunal Pandya ,16.0,12.0,6.0,109.0,34,18.16,92.0,118.47,0.0,0.0,9.0,5.0,54,Jason Holder ,130.0,7.0,14.0,58.0,5.0,3.0,0.0,0.0,55,Eoin Morgan ,91.0
